中文名称;英文名称/简称
北京师范大学附属实验中学国际部;北师大实验国际部
深圳国际交流书院;深国交
上海中学国际部;上中国际
深圳中学国际部;深圳中学国际部
上海市世外中学;世外
中国人民大学附属中学国际课程中心;人大附中 ICC
北京市十一学校国际部;十一
北京市第一零一中学国际部;一零一中学国际部
上海民办包玉刚实验学校;包玉刚
上海市民办平和学校;上海市民办平和学校
UWC 常熟;UWC 常熟
广东碧桂园学校;广东碧桂园
WLSA上海学校;WLSA上海
上海星河湾双语学校;上海星河湾
华南师范大学附属中学国际部（HFI）;HFI
北京市鼎石学校;鼎石
上海美国学校浦西校区;上美浦西
上海美国学校浦东校区;上美浦东
上海德威外籍人员子女学校（浦东）;上海德威
华润小径湾贝赛思国际学校;惠州贝赛思
北京顺义国际学校;顺义国际学校
上海协和国际外籍人员子女学校;上海协和国际外籍人员子女学校
华东师范大学第二附属中学国际课程班;华师大二附中国课班
东莞松山湖清澜山学校;清澜山学校
 广州外国语学校青藤AP&AL课程;广外AP&AL
上海七宝德怀特高级中学;七宝德怀特
重庆市育才中学校;重庆育才
山东省实验中学国际部;山东省实验国际部
北京市第八十中学国际部;北京八十中国际部
西安高新第一中学国际课程班;高新一中国际班
北京四中国际校区;北京四中国际校区
南京市金陵中学国际部中美班;南京市金陵中学国际部中美班
西安铁一中国际课程中心;铁一中
上海光华学院剑桥国际中心;上海光华剑桥
深圳贝赛思国际学校（蛇口）;深贝
北京德威英国国际学校;北京德威
广州贝赛思国际学校;广贝
成都外国语学校AP、A-Level课程中心;成都外国语学校AP、A-Level课程中心
广东实验中学中美课程（省实中美课程/省实AP）;省实AP
苏州外国语学校国际部;苏外国际部
成都树德中学国际部;树德国际部
上海交通大学附属中学IB课程中心;交中IB
上海协和双语学校古北校区;协和古北
武汉英中学校;武汉英中
领科教育上海校区;上海领科
上海浦东新区民办惠立学校;上海浦东新区民办惠立学校
重庆南开中学国际课程中心;重庆南开中学国际课程中心
清华大学附属中学国际部;清华附中国际部
北京市私立汇佳学校;私立汇佳
南京贝赛思国际学校;南京贝赛思国际学校
上海浦东新区民办万科学校;浦东万科
重庆巴蜀常春藤学校;巴蜀常春藤
济南外国语学校国际课程中心;济外国际部
上海协和双语学校万源校区;协和万源
北京王府学校;王府
南京外国语学校IB课程中心;南外IB
杭州贝赛思国际学校;杭州贝赛思国际学校
青岛中学国际部;青岛中学国际部
苏州德威外籍人员子女学校;苏州德威
上海宋庆龄学校;上海宋庆龄学校
天津法拉古特学校;天津法拉古特
深圳市高级中学国际部;深高级
南京市第一中学国际部;南京市第一中学国际部
北京大学附属中学道尔顿学院;北大附中道尔顿
长沙市雅礼中学国际部;雅礼中学国际部
深圳外国语学校高中部国际书院(盐田);深圳外国语学校高中部国际书院
上海市民办文绮中学国际部·汇点美高;文绮汇点
深圳外国语学校国际部(南山);深外国际部SWIS
东北育才外国语学校;东北育才外国语学校
江苏省天一中学国际部;天一AP
杭州外国语学校剑桥国际高中;杭剑
深大师院国际高中（AISSU）;深大师院国际高中
上海新纪元双语学校;上海新纪元
上海民办位育中学国际部;民办位育
上海市民办中芯学校国际部;中芯国际 SMIC-I
北京市第二中学国际部;二中国际部
合肥一中美国高中课程实验班;合肥一中美国高中课程实验班
宁波效实中学国际部;效实IB
北京市海淀外国语实验学校国际部;海淀外国语
北京市海淀区稻香湖学校;北京市海淀区稻香湖学校
广州科学城爱莎外籍人员子女学校;广州科学城爱莎外籍人员子女学校
上海诺美学校;上海诺美学校
 北京市海嘉学校; 北京市海嘉学校
宁波市镇海赫威斯肯特学校;宁波肯特
广东广雅中学国际部	;广雅国际部	
深圳荟同学校;荟同学校
上海闵行区万科双语高中;万科双语高中
 杭州橄榄树学校; 杭州橄榄树学校
北京海淀凯文学校;海淀凯文
杭州市第十四中学国际部;杭十四国际部
深圳万科梅沙书院;万科梅沙
广州（荔湾）爱莎文华高中;广州爱莎文华高中
光华启迪·个人学校;光华启迪
无锡大桥实验中学国际部;大桥国际部
宁波外国语学校国际部;宁外国际部
深圳国际预科书院;深圳国际预科书院
成都七中国际部;七中国际部
上海建平中学国际课程班;建平中学国际课程班
上海赫贤学校;赫贤
上海市民办尚德实验学校;上海尚德
